sentence;label;probability
I made a budget is quite funny as the Movie passing grade;neutral;0.5382372736930847
At the end of life, because people love to the end, even as there is death waiting frightened;fear;0.994377076625824
Kim Ki-duk is a shit look at the smile seemed disappointed director Kim Ki-duk;disgust;0.9434415698051453
Monitor almost real bad when you throw first started the movie and Hagen;disgust;0.9393502473831177
What distracted.I should not see this as a real and truly in the details Face the music;disgust;0.9230884909629822
Healing must begin to punish the offenders prior to confess;anger;0.8417522311210632
Looks so real even if it haneungeot jangnanjil Be million viewers against YAG eopna way to sue this garbage created by writer director;disgust;0.9189369678497314
Empress Trang selling cigars billions of old mines won ten thousand US dollars-old mine in the United States is to take away galttae given alone and joined the first unequal treaty you have to invade to joseonyoung the Japanese Zen attacks hanikkan joseongun a lie that indulgent defeated the Japanese Zen the US did not speak in this way Gojong;sadness;0.8845947980880737
When viewing awake fun movie of this sort I wrote that the artist who wondered why so poorly I fell in love with the program what set do not even sympathize a little smoke also learn to stand up;happiness;0.947637140750885
Without reflection on Japan's own fault blatant ugliness is their quirky whilst youre in the country indeut without a green conscience movies victims;disgust;0.8926011919975281
Rated as a point so high that private bookstores Zoom Amazing Spider-Man is byeolroda;surprise;0.699138343334198
Do not shake the feeling when the line judge of what you want to do this work and destiny;sadness;0.9827398061752319
Oh, it's a fantastic trailer, why do I still have to learn the forehead rated aeksyeonssin Ascent expects more than four stories Death dokkki I'm due to see the ball'm Jeon;happiness;0.47865206003189087
What this mean, you could hit a pretty comical movie feeling whole atmosphere is childhood saw guerrilla sheds gentle fun I have herpes everywhere and gums while shoveling in the desert They eventually cross the Antarctic Journal hew to rescue the doeseo women alone, Sent GNOME woman haejum nine;sadness;0.6928328275680542
Boring film showed only the worst movie aetdin Kim Hess;disgust;0.94415682554245
Why make this film I do not know whether a lack of competence of the director said action applied comedy is crude, as one;neutral;0.4544201195240021
I was so worried about disappointing expectations before the movie ateul fine, even though rather more expected;sadness;0.5713609457015991
It takes at different times had beautiful fresh every time I see once fed once bolgeol;disgust;0.8613892197608948
But it's the film I get to equalize the balance of nowhere with no embarrassing stories ratings below;disgust;0.5298997759819031
I figure seemed good to watch the two men a reunion of two people back to Sunrise Sunset also so glad now slip through the slip Midnight middle age was the same age as the two men pledged again years later and;happiness;0.6517713665962219
Wonderful life was sad and depressing indeed looked like a real ingeo woven screenplay;disgust;0.5202842950820923
