,text,class,prob
0,"﻿It was made with a low budget, but it is quite fun. As an entertainment movie, I got a pass.",sadness,30%
1,"Just as death waits at the end of life, love has its end, and it is feared that it is human.",disgust,30%
2,Kim Ki-duk is a total disappointment.Director Kim Ki-duk will laugh.,neutral,40%
3,"When I first started the movie, I almost broke my monitor.",disgust,30%
4,What the hell is this? You shouldn't have done music in the middle of the story.,disgust,50%
5,Healing should start with punishing criminals before confessing.,neutral,40%
6,It's too much to do. I think you're playing around with the viewers. Is there any way to sue the director for making this crap? Stop it.,disgust,40%
7,"I didn't know that King Gojong, who signed the first unequal treaty, would glorify this way when he lied that the Joseon army had beaten the Japanese ship in its own way when the U.S. sold a mine worth hundreds of billions of dollars and took it away from the U.S.",sadness,40%
8,"I enjoy watching this kind of movie, but I wonder who the writer is. I can't even relate to why I fell in love and became a part of it. The actors' acting is a bit clumsy.",disgust,20%
9,"Shameless Japanese ugliness It is absurd that the movie, which they portray as victims without remorse for their own mistakes, is released in Korea without conscience",disgust,20%
10,"The rating is so high that it's gradually increasing. Personally, Amazing Spider-Man is very diverse.",surprise,30%
11,You shouldn't be swayed by emotion when you judge what you want to do and what you're destined to do.,disgust,20%
12,"Wow, the trailer is fantastic. The actors' action scenes are better than I expected, but I'm going to see it because of Jeon Do-yeon.",surprise,40%
13,"There's a comic movie like this. The whole atmosphere feels like a guerrilla camp, and there's a lot of quiet fun all over the place, shoveling in the desert, filming Antarctic diaries, and eventually sending women to save them.",disgust,30%
14,"The boring movie that only showed Kim Hye-soo, the worst movie ever.",disgust,50%
15,"I don't know why I made this movie. The director's lack of competence, comedy, action, and all of them are crude.",disgust,50%
16,"I was worried that I would be disappointed because I expected so much before I watched it, but I could have expected more.",neutral,20%
17,It's different every time I download it from it. It's boring. I should have seen it once.,disgust,20%
18,"It's an age-old movie, but I need to balance out the absurd story.",neutral,30%
19,"Sunset, who was so happy to see the two people reunited again, has become a similar age to the middle-aged Midnight.",disgust,30%
20,"It's great. Life seems like a really well-organized scenario, so I was very sad and depressed watching it.",sadness,40%
21,Why don't we be more faithful at the point of Jeon Tae-il and explode the climax emotional line?,disgust,20%
22,"I don't know what he was trying to convey to the audience. If the Job tree was a father, the family might have had a hard time, but the only thing that seemed to be the story of a daughter who thought of the tree as a father trying to protect the tree was that she eventually collapsed and lost her home.",fear,20%
23,It's hard to eat it all because it's a plain Tom Yum Goong that doesn't taste like Sham.,disgust,50%
24,"I really enjoyed watching this drama, but I still enjoyed it.",disgust,30%
25,the terrible fact that it went beyond the comedy-like scenario and directing of the previous film.,disgust,30%
26,"The actors were great, but the music and the story are really boring. I've wasted my time.",disgust,30%
27,"It's funny, but you're supposed to be self-assertive. You're not following the ratings.",surprise,50%
28,"When my stepfather was beaten, I felt relieved but bitter.",anger,30%
29,"Marilyn Monroe, when I was a kid, everyone in the world wanted to look at me, but now I want only one person in the world to love me.",disgust,40%
30,"The talent for mixing the familiar formula deliciously, but it's depravity compared to the prison wind.",neutral,30%
31,I watched all the movies and came here. What's wrong with the ratings? It was a movie that was made very well. I watched a movie that was fun and made well.,neutral,20%
32,"After watching the crazy movie, all I could say was swear words. I can't believe you're talking about an independent movie.",disgust,20%
33,End a world where only the director of failure knows about experimental deviance.,neutral,30%
34,I remember the scene where the pilot jumped off when I.DARK when he was giving a spoiler.,disgust,20%
35,It was a calm but lingering movie.Your acting was great.,neutral,30%
36,"I don't watch movies about sports, but I watched them, and they didn't kill me yet.",disgust,40%
37,Don't be fooled by a preview of a philosophical and religious film. a study of religion,disgust,40%
38,Express a subject Only takes the most typical conditions A topic also draws only superficial,disgust,20%
39,"What's the guy who wrote ""The Scum of Memories?"" Have you ever seen a movie?",disgust,40%
40,"I just happened to watch it. I wish I had seen it before my dad died. I love you.Dad, too much.",disgust,20%
41,"For your information, if you look at the last one, you'll find the last one.For those of you who feel empty, there's a scene where Hayori appears in the ending picture and feathers fly from the hill at the end.If there's a bell, it's alive. If it's possible, there's a dish.",sadness,20%
42,"Interesting subject matter, but the movie itself will soon be forgotten.",neutral,50%
43,"I thought a lot about whether Song Hye-kyo always tries to look pretty in dramas, but this movie makes me think differently. I think it's a movie that I chose based on the director and the scenario. I can tell you exactly what the director is trying to say, and I'm not unhappy about not being forgiven.",sadness,30%
44,"There's a whole bunch of unkind, ridiculous controls.",disgust,30%
45,"That's amazing. I've only seen all the performances I wanted to see. It's a three-hour-long one. It's my fault if I look forward to it, but if I'm not pretty enough, I'll see you, Sunnis. Let's see Hyukjae's shirt.",neutral,30%
46,"There's a movie with nothing to see but fancy. I wonder if they've changed the scenario. Overall, the content lacks validity.I watched it all because I thought it would be far to the end, but it keeps making me think why I'm watching it.",happiness,30%
47,"I made a character with a very special ability, but I didn't make good use of it, and it's a shame that the character other than the main character is plain. I liked the development of the second half.",happiness,30%
48,"Long time ago, it was fun to play Galgari like this kind of game. I'm not having a lot of fun.",disgust,40%
49,I just watched a horror movie alone on Cook. I'm afraid it's scary because the acting is so awkward.,fear,30%
50,"It's not erotic, it's not drama, it's like a movie in the middle of nowhere.",disgust,40%
51,"Watching this crazy movie, I've been watching this crazy movie again and again, and the genre of this movie is becoming more obscure, and it's not as real as it was in the middle of the movie.to the point that one wants",disgust,40%
