sentence;label;prob
It's quite fun to say it's made with a low budget, it's a passing point for entertainment;neutral;0.38593196868896484
As death waits at the end of life, I am afraid that the end exists in love.;fear;0.5228504538536072
Kim Ki-duk is a total disappointment. Kim Ki-duk is laughing;disgust;0.6985774040222168
When I first started the movie and threw it away,;disgust;0.4185452461242676
What is this really about? Don't even really play music in the contents.;disgust;0.39033424854278564
Healing should start with punishing criminals before confession;surprise;0.2711324691772461
I can't even be real. I think you're playing with your audience. I can't sue you for a littered writer.;disgust;0.8383967280387878
Empress Myeongseong and the city sold hundreds of billions of won mines to the circle, and when the United States took away the $ 10,000 mine, the Japanese ship invaded the Korean peninsula and attacked it.;surprise;0.710723340511322
I wonder who the writer is. I do not even know why I fell in love and came together. I do not feel like acting actors.;happiness;0.9271957874298096
It is absurd that the shameless Japanese ugly is released in Korea without a conscience of the movie that they depict as a victim without reflection on their own mistakes;disgust;0.7629292011260986
The score is so high that the book store is personally amazing spy man;surprise;0.8256917595863342
What you want to do and what you do do should not be shaken by emotion when you judge;surprise;0.5106917023658752
Iyaya trailer is a fantasy Why the score is more than expected of the actor action scene, but I am going to see it because of the story of the Deathe poison.;disgust;0.385763019323349
Well, there's all these comic movies. The whole atmosphere is like a guerrilla that I've seen as a child, and there are still quiet fun everywhere.;surprise;0.5625424385070801
The Boring Movie, which only showed the worst movie, Atdin Kim Hye-soo;disgust;0.8291481733322144
I do not know why I made this movie. I do not know why I made it.;neutral;0.5945665836334229
I was worried that I would be disappointed because I was so excited before I saw it, but I would have expected more.;surprise;0.39661654829978943
I downloaded it from the first time and it was fresh every time I saw it.;disgust;0.4172747731208801
I have to balance the absurd story score that is a movie of the age but never ends;surprise;0.4735680818557739
Sunset, who was so happy to see two people who were reunited with the two of the pictures, and now I am about to become a middle-aged Midnight,;disgust;0.5503972172737122
It's great. Life seems like a really woven script, so I was sad and depressed;disgust;0.684997022151947
What was it like to explode the emotional lines of the climax by being more faithful at the time of Jeon Tae-il?;disgust;0.5299524068832397
I do not know what you were trying to convey to the audience. If the tree is a father, the family is not hard. If the tree is a father, the daughter who thinks the tree is a father is only seen as a tree.;surprise;0.3842204809188843
It is a flat sheepish sheepish without a unique flavor like shampoo, so it is hard to eat all;disgust;0.8360936045646667
I had a really good time watching this drama, but I was still having fun;neutral;0.5891452431678772
The terrible fact that you've gone beyond the comedy scenarios and directing of the previous ones;neutral;0.47661277651786804
The actors were good, but it's not really fun from music to story. I've given up time;neutral;0.49212372303009033
I'm just saying, you have to be self-administered.;neutral;0.6002994775772095
I was feeling cool when I was beaten by my stepfather, but it was bitter;happiness;0.9950270056724548
Marilyn Monroe, when I was a kid, everyone in the world wanted to look at me, but now I want only one person in the world to love me;disgust;0.8214293122291565
The talent to taste the familiar formula, but compared to prison-style luck, this is a fall;surprise;0.5080376863479614
I came here after watching the movie, and I saw a movie that made so well because it was so good.;neutral;0.7654783129692078
I saw a crazy movie and I just got a bad mouth.;disgust;0.9737837910652161
The world where experimental deviations only fail directors know is done by fantasies;surprise;0.32950350642204285
Carrick is the one who spoofs, and I feel like I'm jumping down a pilot who remembers this news;fear;0.6788073182106018
It was a quiet but lukewarm movie. You two were acting so good;neutral;0.6628267168998718
The stars are high. I can not see sports movies, but I was dragged into it and I have not died yet.;disgust;0.43995413184165955
Don't be caught in a trailer for a philosophical religious film, a study on religion;surprise;0.31723490357398987
Expression of a subject Only the most typical condition The subject is also superficially drawn;disgust;0.46062105894088745
What is the human who wrote too much memorable movie garbage?;disgust;0.525365948677063
I've seen it inadvertently, but I wish I'd seen it before my dad died. I love you, Dad.;disgust;0.545843243598938
Oh, for reference, at the end of the day, the last hamburger comes out. Let me know for those who are empty. There is a scene where the hamburger appears in the ending picture and the feathers fly in the hill at the end.;surprise;0.3505438268184662
It is an interesting material, but the movie itself is a movie that will be forgotten soon.;neutral;0.6152112483978271
Song Hye-kyo always tries to look pretty, but I think a lot of things like this, but I think this movie is a completely different idea. I think it's a movie that I chose to see the director and scenario.;disgust;0.4869552254676819
I'm afraid, I'm so unkind, I'm so ridiculous.;surprise;0.592151939868927
It is really great. I want to see all the stage I wanted to see, but I am looking forward to it in three hours. I am wrong, but I am wrong, but I am sorry for Mimo Poten.;surprise;0.37702518701553345
There are actors who do not have anything to see except colorful movies. I did not change the scenario. I did not have enough validity overall. I saw it all because I was going to come out to the end, but I kept thinking about why I was watching this.;disgust;0.8424625992774963
I made a character with a tremendous special ability, but I could not save the character well, and it was a pity that the character other than the main character was flat.;surprise;0.6066493988037109
I've had a good time in the past, but it's not funny these days.;neutral;0.5091041326522827
I just saw Cook alone. I'm scared of horror movies, but the acting is so awkward;surprise;0.46468815207481384
This is not an erotic or drama, but a movie class in a middle position;surprise;0.520942747592926
I live this time. I look at this crazy movie again, and the genre of this movie is getting blurred and I do not want to be more real than the real movie that is stuck in the middle of the movie.;disgust;0.9434962272644043
The overlap of the story until the beginning and the middle of the story, but the second half of the immersion is not a joke.;disgust;0.4064773619174957
It's okay to change this way rather than going back to childhood, especially the way the setting of mother and daughter is interesting and unravelling is different;disgust;0.853015124797821
I was able to feel the power of the Iranian movie again;happiness;0.9096481800079346
It was the first time that I had a drama that followed the sub-namju.;surprise;0.6093422174453735
The snowballing of this era seems to have no director to follow Jia Zhang Kerr;surprise;0.5021973848342896
Confession The engagement of evil is a ridiculous story, but every time I look at it, something cool is cooler than Korean movies these days.;neutral;0.5418257117271423
It's a bit more content than other series, but the confrontation with Drago is really the best;surprise;0.2406436949968338
It's not too much time for the show, so I just enjoyed it;surprise;0.4880943298339844
I do not think it is my creepy. Kim Young-ho's acting is too bad. I was interested in reading the ambassador at the beginning.;disgust;0.9872837066650391
It was fun today, too. Soon it's the last time.;neutral;0.7945312857627869
This director has ruined the original work. The most important song is not coming.;disgust;0.8247721195220947
I saw more than Sung Jun in the discovery of love, but I really enjoyed it so much;surprise;0.7770144939422607
There is no word for more movies that do not need to give the lowest score of garbage movies;neutral;0.5705933570861816
My nephew, Aouk Wool, looks at the trailer and asks me to go see him. I'll take my nephews and go to see them on weekends;surprise;0.4826224744319916
Oh, I'm sorry if this drama is out now;surprise;0.5866760015487671
An interesting story with an imagination, a really beautiful and touching movie, a happy ending feeling and no regrets.;sadness;0.9983048439025879
Real I'm impressed. I'm the most touching, tearful, lyrical movie in the movie.;neutral;0.660755455493927
Horror or action or heroines are going to see ghosts with iron pipes;surprise;0.5191326141357422
Who killed him was not the point, who died, why died, and Shin Ha-gyun's acting was crazy;disgust;0.9740123152732849
"When the times are negative, when there is a movie called ""Shidden""";neutral;0.48381733894348145
I like romantic comedy, but this movie was not good. When I see the main character feeling low self-esteem and inferiority feeling in the movie, I honestly do not press the pause once or twice.;sadness;0.998201847076416
Real Shocking Story about Midlife's Infidelity Hidden Behind Unconventional Scenes A Melody of Different Forms;neutral;0.48209133744239807
I was worried because I did not have fun at first, but I kept crying from the middle of the day. I was so impressed and reminded of my mother.;surprise;0.6694384217262268
In this setting, the main character, the two men and women, and the lesson of the last reversal become overshadowed;disgust;0.5511404871940613
Time is going well, but it's not a desert bandit.;disgust;0.5162491798400879
The woman is so charming. Let's not use her writing;surprise;0.5838748216629028
What the hell is it? In a sense, it's a fantasy?;neutral;0.4242823123931885
This is a fake compared to the source code;neutral;0.5161947011947632
No one can be perfect. Human groups who have the sadness of lack;disgust;0.4967975914478302
Song Il Kook hasn't seen a movie since the third-rate melodrama comedy;neutral;0.5266510248184204
I did not expect it at all, but as a person who does not see spring drama, I sometimes turned on the Internet, and I thought it was a typical handsome actor who appeared in a drama or a drama with his face.;surprise;0.6118316054344177
I really did not think about it in the old days, but I happened to see it again. I have not seen a movie at the age of twenty,;surprise;0.48380428552627563
Is it really too much? When the audition for the superstar first came out, it was all meaningless to say that I would make a single superstar K with my ability.;disgust;0.6590507626533508
After all, I have to go to the end of the movie, not the Rocky Sports Movie, but the American promotional movie;disgust;0.6805135011672974
I don't think it was a tearful story. I was tearful.;neutral;0.860534131526947
Nine years old, who had been seen as an original novel in the past, often did not meet the original film, so I did not see it. I saw the nine years old life at an accidental opportunity. In terms of contents, I skipped the contents of the original work, but the impression I felt when I saw the movie transcended the original work;surprise;0.4571763873100281
I go one step from the typical cheap Sinpa and beg for sympathy with the young child as bait.;disgust;0.7128478288650513
The score is pole and pole. It is good. It is not fun to see a person looking for an action that is obvious to time, but it is fun and fun to see a person who is looking for something unique without being obvious.;neutral;0.6353975534439087
I think it's the first time that the Ovanga comedians;neutral;0.3567330539226532
It was the worst thing to go on in the content, and it seemed to me that I was a Christian.;disgust;0.8408664464950562
It's the best movie ever. The last scene is never forgotten;neutral;0.7172296047210693
I have not missed one since the beginning. I do not usually laugh, but I laughed a lot at the blue tower. I hope one will not be lost and unchanged;disgust;0.6683639883995056
We sell Frankenweenie figures;neutral;0.4822448194026947
The book is much better animation too Japanese picture It is a bad pronunciation;disgust;0.5676488280296326
When I was a child, it was a boring and funny movie. It was a movie that was so praiseworthy.;surprise;0.5726655125617981
I'm honestly nervous and fine, but there's so much to do. It's okay, but it's good.;surprise;0.7401179671287537
It is a movie a year ago, but Gyeongsang-do seems to be dirty when it comes to dating. Son Ye-jin seems to have been more and more good in the past, but it is getting worse and worse in the movie pirates;disgust;0.6509200930595398
It's worth noting what it means to write;surprise;0.5031211376190186
One-way, one-way, one-way, one-way, one-way, one-way, one-way, one-way, one-way, one-way, one-way, one-way, one-way, one-way, I gave my first greeting to the citizens.;surprise;0.31193307042121887
After the 415 general election, I hope that the party will disappear and the Democratic Party, the Justice and Development Party, and the People's Party, the Green Party, and the Labor Party will be reorganized properly.;disgust;0.8581215739250183
"Tak Hyun-min and Cha Myung-jin said, ""There is no reason to understand similar positions."" Tak Hyun-min, a presidential planning adviser, criticized the 415 general election on April 9, ""There is no room for understanding""";disgust;0.5624979734420776
"Ogadon, after the general election, the resignation of Ogadon, the resignation of the unified party, and the strong power. Before the general election, Kwak Sang-do, the decision to resign from Ogadon, said, ""Cheong Wa Dae,";disgust;0.8897764086723328
I will sing a song saying, Wait for me to go to the polling place, I will go to vote. I will go to vote. I will say I promise. I have completed the voting campaign video I want to see.;surprise;0.4150294363498688
"Lee Seung-kwang, the result of the 21st general election, also criticized """;disgust;0.35210999846458435
Kim Jong-in was able to taste the victory in the last general election because the party leader was Moonf at the time, not because he was well-known.;disgust;0.8568686842918396
The general election and the presidential election will maintain consistency in real estate policy for at least 10 years. Those who have been bitten by the house should eat their thoughts quickly.;disgust;0.48235008120536804
I hope you will be the party leader after the election of Hong,;disgust;0.6602542996406555
"Kim Ye-ryong, a spokesman for the United Party, said, ""If the Moon Jae-in regime wins in this general election, their corruption will be concealed and the lies will be truly turned into truth. All suspicions of the political regime, such as the situation of the country, the Lime incident,";disgust;0.4632512331008911
The current Times Kim Yong-tae, the interest of the candidates' unification, the first election campaign of the 415 general election,;disgust;0.7801759839057922
"Jeon Hyun-hee ""My mission to complete everything that started in Gangnam""";surprise;0.6934183239936829
It was a representative pledge, but due to lack of business feasibility,;surprise;0.39685457944869995
The fact that they are looking for President Moon at a time when the general election is imminent, which is a foreigner but who is in Korea, is also effective in the campaign itself. Foreign celebrities ask for a call with President Moon, express their respect;surprise;0.6594929695129395
Most of the candidates who believed and supported the former minister were elected, and some of the candidates were defeated.;disgust;0.9339913725852966
Free Wind Reservoir 21st General Election Unfair Election Suspicions;anger;0.48771315813064575
The Democratic Party, which was the first holiday after the official campaign for the 415 general election, focused its firepower on the metropolitan area of ​​the largest battleground.;disgust;0.4536873400211334
The world was noisy due to the defeat of Chong Kun Dang in July 2017, but my son is not buried in Corona 19, the general election, and the channel incident. Another incident is that I think I should live as an example to my child by watching the houses that cause problems and problems.;disgust;0.7022965550422668
I hope that we will be able to send the last support to the candidates who are running the lonely election in the test area. I hope that the candidates of Pohang North North Korea will be able to support Kim Chul-ho.;disgust;0.936220109462738
